time,open,high,low,close,DP,EMA,EMA,EMA,Volume
1782687600,24724.1,24729.5,24719.9,24728.7,,,,,0
1782687660,24728.3,24735.9,24728.3,24734.2,,,,,0
1782687720,24735,24737.5,24733.3,24734.2,,,,,0
1782687780,24733.7,24742.2,24731.6,24741.4,,,,,0
1782687840,24742.2,24743,24737.1,24739.6,,,,,0
1782687900,24740.8,24741.7,24735.3,24738.7,,,,,0
1782687960,24738.3,24742.9,24737,24742.9,,,,,0
1782688020,24742.4,24761.7,24742,24757.9,,,,,0
1782688080,24757.5,24761.4,24756.1,24758.9,,,,,0
1782688140,24758.8,24765.8,24757.1,24762.8,,,,,0
1782688200,24763.2,24767,24756.5,24758.1,,,,,0
1782688260,24757.7,24762.3,24757.6,24757.6,,,,,0
1782688320,24758.1,24766.9,24758.1,24764.8,,,,,0
1782688380,24764.4,24766.9,24760.2,24760.6,,,,,0
1782688440,24760.2,24762.3,24758.5,24759.5,,,,,0
1782688500,24759.1,24761.6,24749.9,24749.9,,,,,0
1782688560,24750.3,24752.5,24749.5,24752.5,,,,,0
1782688620,24753.3,24755,24750.4,24754.9,,,,,0
1782688680,24755.3,24766.7,24755.3,24764.8,,,,,0
1782688740,24765.7,24765.7,24761,24762.3,,,,24751.215,0
1782688800,24762.7,24766.9,24762.3,24765.3,,,,24752.556428571428,0
1782688860,24764.8,24767.3,24761.5,24761.9,,,,24753.44629251701,0
1782688920,24761.5,24764,24756.2,24758.7,,,,24753.946645610627,0
1782688980,24760.4,24765.9,24759.1,24759.6,,,,24754.48506031438,0
1782689040,24758.3,24759.1,24755.7,24756.9,,,,24754.71505457015,0
1782689100,24757.3,24760.7,24755.2,24760.3,,,,24755.2469541349,0
1782689160,24759.8,24760.3,24757.3,24758.6,,,,24755.566291836338,0
1782689220,24759.4,24760.3,24756.9,24756.9,,,,24755.69331166145,0
1782689280,24756,24757.3,24755.6,24757.1,,,,24755.827281979407,0
1782689340,24756.6,24760.4,24756.2,24758.7,,,,24756.100874171843,0
1782689400,24758.3,24770,24757.5,24765.5,,,,24756.996029012622,0
1782689460,24765.1,24765.9,24761.7,24762.6,,,,24757.52974053523,0
1782689520,24763,24764.2,24760,24763.2,,,,24758.06976524616,0
1782689580,24762.8,24764.9,24760.3,24763.7,,,,24758.60597807986,0
1782689640,24763.3,24764.1,24761.1,24763.2,,,,24759.043503977016,0
1782689700,24763.6,24766.6,24762.4,24764.1,,,,24759.525075026824,0
1782689760,24764.5,24764.9,24762,24763.3,,,,24759.884591690938,0
1782689820,24762.5,24764.5,24761.6,24763.3,,,,24760.20986867275,0
1782689880,24763.7,24770,24763.3,24770,,,,24761.14226213249,0
1782689940,24770.4,24771.7,24769.2,24770.9,,,,24762.071570500822,0
1782690000,24771.3,24771.3,24765.9,24767.6,,,,24762.598087595983,0
1782690060,24768,24770.1,24766.8,24768.8,,,,24763.188745920175,0
1782690120,24769.3,24770.1,24764.6,24766.3,,,,24763.485055832538,0
1782690180,24765.9,24769.6,24763.7,24765.4,,,,24763.667431467533,0
1782690240,24765,24767.8,24763.7,24767,,,,24763.984818946814,0
1782690300,24766.2,24769.9,24761.1,24761.5,24758,,,24763.748169523307,0
1782690360,24761.9,24778.3,24760.6,24777.7,24758,,,24765.076915282993,0
1782690420,24778.2,24778.2,24762.3,24762.3,24758,,,24764.812447160803,0
1782690480,24762.7,24766.9,24759.8,24766.9,24758,,,24765.011261716918,0
1782690540,24766.5,24769.4,24764.8,24765.6,24758,,24758.744,24765.067332029594,0
1782690600,24765.2,24766,24756.4,24757.6,24758,,24758.699137254902,24764.356157550585,0
1782690660,24757.2,24761.8,24755.1,24759.3,24758,,24758.72270049981,24763.874618736245,0
1782690720,24758.5,24760.2,24757.7,24758.5,24758,,24758.713967146876,24763.362750285174,0
1782690780,24758.1,24761,24754.3,24757.6,24758,,24758.670282160725,24762.813916924682,0
1782690840,24756.8,24759.3,24750.5,24751.2,24758,,24758.377329919127,24761.707829598523,0
1782690900,24750.4,24752.6,24749.6,24750.9,24758,,24758.084101294848,24760.6785124939,0
1782690960,24750.1,24753,24749.2,24752.9,24758,,24757.880803204855,24759.937701780196,0
1782691020,24753.4,24756.7,24750.8,24751.2,24758,,24757.61881092231,24759.10553970589,0
1782691080,24751.7,24752.5,24747.4,24749.1,24758,,24757.28473990575,24758.152631162473,0
1782691140,24749.9,24750.3,24743.2,24744.9,24758,,24756.799063831015,24756.890475813667,0
1782691200,24743.6,24744.9,24723,24734.2,24758,,24755.91282603372,24754.729478117126,0
1782691260,24733.8,24736.7,24708.7,24710.4,24758,,24754.128009326516,24750.50762305835,0
1782691320,24712.1,24718,24697.4,24701.5,24758,,24752.064165823514,24745.840230386126,0
1782691380,24700.7,24715.6,24700.2,24715.6,24758,,24750.634198536318,24742.96020844459,0
1782691440,24716,24720.7,24708,24711,24758,,24749.079916240775,24739.916379068916,0
1782691500,24710.6,24714.3,24697.2,24703.9,24758,,24747.30815481957,24736.48624772902,0
1782691560,24703.4,24717.3,24701.4,24711.9,24758,,24745.919599728608,24734.144700326255,0
1782691620,24712.3,24716.9,24706,24708.9,24758,,24744.467850719644,24731.740443152325,0
1782691680,24708.5,24714.9,24706.5,24706.9,24758,,24742.994601671813,24729.374686661627,0
1782691740,24707.4,24712,24704,24707.8,24758,,24741.614421214093,24727.319954598614,0
1782691800,24708.6,24714.5,24704.8,24709.4,24758,,24740.351110578245,24725.61329225589,0
1782691860,24709.9,24729.2,24709.9,24728.4,24758,,24739.882439575176,24725.878692993425,0
1782691920,24727.9,24728.8,24717.8,24727.1,24758,,24739.381167434974,24725.995007946432,0
1782691980,24726.7,24729.6,24713.6,24716.2,24758,,24738.47210204537,24725.06215004677,0
1782692040,24716.6,24718.7,24707.8,24708.6,24758,,24737.3006470632,24723.494326232794,0
1782692100,24708.2,24741.8,24706.1,24722.8,24758,,24736.73199423719,24723.42819992491,25
1782692160,24723.8,24727.3,24704.5,24709.6,24758,,24735.667994463183,24722.11122850349,3
1782692220,24710.1,24726.1,24708.1,24725.1,24758,,24735.253563307764,24722.39587340792,3
1782692280,24725.3,24731.4,24718.9,24730.9,24758,,24735.08283533491,24723.205790226213,2
1782692340,24730.4,24732.8,24715.3,24716.9,24758,,24734.369782968835,24722.605238776097,7
1782692400,24716.4,24720.8,24709.5,24710.5,24758,,24733.43371304849,24721.45235889266,2
1782692460,24712,24712.8,24696.8,24699.8,24758,,24732.114743909333,24719.390229474313,4
1782692520,24701.3,24701.3,24692.3,24693.8,24758,,24730.612204932495,24716.953064762474,4
1782692580,24694.3,24700.8,24687.6,24692.1,24758,,24729.101922386122,24714.58610621367,5
1782692640,24691.6,24703.8,24691.3,24698.4,24758,,24727.897925429803,24713.044572288556,1
1782692700,24698.9,24708.3,24694.9,24700.7,24758,,24726.83134011883,24711.868898737266,1
1782692760,24698.2,24702.2,24696.2,24700.3,24758,,24725.79089540829,24710.767098857526,0
1782692820,24699.8,24704.3,24697.6,24699.1,24758,,24724.74419362757,24709.655946585382,3
1782692880,24700.1,24701.1,24693.3,24693.8,24758,,24723.530695838253,24708.145856434392,1
1782692940,24694.3,24700.1,24694.3,24695.8,24758,,24722.443217570086,24706.9700605835,1
1782693000,24699.8,24700.8,24695.5,24698.8,24758,,24721.51603256734,24706.191959575546,9
1782693060,24698.3,24702.3,24688.8,24689.8,24758,,24720.272266584307,24704.630820568353,5
1782693120,24690.3,24691.8,24682.8,24689.3,24758,,24719.057667894725,24703.170742418984,8
1782693180,24690.8,24699.8,24688.3,24688.8,24758,,24717.871092683166,24701.802100283843,4
1782693240,24689.3,24697,24682.8,24690.8,24758,,24716.809481205397,24700.754281209192,3
1782693300,24690.3,24690.3,24682.2,24683.8,24758,,24715.51499174636,24699.1395877607,0
1782693360,24683.3,24692.3,24683.3,24688.8,24758,,24714.46734501121,24698.154865116823,0
1782693420,24688.3,24691.3,24682.8,24690.3,24758,,24713.51960599116,24697.406782724745,0
1782693480,24689.8,24699.8,24686.8,24699.8,24758,,24712.981582226803,24697.634708179532,2
1782693540,24699.3,24706.3,24696.3,24698.8,24758,,24712.42544174732,24697.74568835291,0
1782693600,24697.3,24713.8,24697.3,24713.8,24758,,24712.479345992524,24699.274670414536,2
1782693660,24714.3,24724.8,24711.8,24724.8,24758,,24712.96250889478,24701.70565418458,8
1782693720,24723.8,24730.8,24721.8,24728.2,24758,,24713.560057565574,24704.228925214622,3
1782693780,24725.7,24737.8,24724.7,24730.9,24758,,24714.2400553081,24706.769027575134,16
1782693840,24731.4,24741.2,24731.4,24737.7,24758,,24715.160053139152,24709.71483447274,0
1782693900,24735.7,24737.3,24714.8,24721.8,24722,,24715.420443212126,24710.86580261819,2
1782693960,24721.3,24725,24707.8,24708.3,24722,,24715.141210144982,24710.621440464078,4
1782694020,24705.3,24708.3,24686.3,24690.8,24722,,24714.186652884393,24708.733684229403,3
1782694080,24690.3,24697.8,24686.8,24697.3,24722,,24713.52443120265,24707.64476192184,4
1782694140,24696.8,24707.8,24696.8,24707.3,24722,,24713.28033586137,24707.611927453094,0
1782694200,24706.8,24718.8,24706.8,24709.3,24722,,24713.124244258965,24707.772696267086,3
1782694260,24708.8,24723.3,24707.8,24720.3,24722,,24713.405646444888,24708.965772813077,0
1782694320,24718.8,24725.3,24715.3,24718.8,24722,,24713.617189721557,24709.902365878497,5
1782694380,24720.8,24720.8,24712,24712.5,24722,,24713.573378359928,24710.149759604355,3
1782694440,24711.5,24720.3,24711.5,24720.3,24722,,24713.837167443853,24711.116449165846,4
1782694500,24719.8,24728.3,24718.8,24728.3,24722,,24714.404337348016,24712.75297781672,1
1782694560,24729.3,24732.3,24727.4,24729.8,24722,,24715.008088824565,24714.376503738935,1
1782694620,24728.3,24729.8,24721.8,24723.3,24722,,24715.333261811837,24715.226360525703,0
1782694680,24723.8,24740.8,24723.8,24740.3,24722,,24716.31234958392,24717.614326189923,1
1782694740,24739.8,24741.3,24734.8,24734.8,24722,,24717.03735548259,24719.251057028978,1
1782694800,24735.3,24744.3,24732.3,24732.3,24722,,24717.6358905617,24720.49381350241,3
1782694860,24732.8,24735.3,24728.3,24731.8,24722,,24718.19134583379,24721.570593168846,0
1782694920,24730.8,24730.8,24713.3,24719.3,24722,,24718.23482246776,24721.354346200384,0
1782694980,24719.8,24723.3,24711.3,24720.3,24722,,24718.315809821965,24721.253932276537,0
1782695040,24719.3,24728.8,24717.3,24721.8,24722,,24718.45244473091,24721.30593872639,1
1782695100,24722.8,24732.8,24721.3,24730.8,24722,,24718.936662584598,24722.21013503816,1
1782695160,24731.8,24749.8,24731.8,24749.3,24722,,24720.127381698927,24724.790122177383,4
1782695220,24748.8,24752.6,24739.3,24740.3,24722,,24720.91846476956,24726.267253398586,6
1782695280,24739.3,24742.8,24732.8,24736.3,24722,,24721.521662229574,24727.22275307491,4
