time,open,high,low,close,DP,EMA,EMA,EMA,Volume
1782479700,24625.2,24627.3,24546,24573.6,24622,24782.80691745396,24683.889648621996,24649.732593821474,560
1782480000,24573,24614.5,24570.1,24596.2,24622,24780.95013220566,24680.450838872115,24644.63425155276,325
1782480300,24596.7,24608.2,24585.7,24606.2,24622,24779.21132492003,24677.539041269287,24640.973846642974,161
1782480600,24605.7,24644.3,24597.6,24614.3,24622,24777.57041621436,24675.05907886657,24638.433480296022,314
1782480900,24613.8,24632.9,24598.9,24616.4,24622,24775.966730480883,24672.758722832586,24636.335053601164,256
1782481200,24616.5,24637.6,24610.5,24632.9,24622,24774.543180923858,24671.19563566268,24636.007905639148,115
1782481500,24633.4,24656.3,24615.9,24641.7,24638,24773.221358228097,24670.038944068066,24636.55000986399,185
1782481800,24641.6,24662,24630.5,24642.1,24638,24771.916668096474,24668.943299202652,24637.078580353133,173
1782482100,24642.2,24664.4,24637.2,24659.9,24638,24770.80207438407,24668.588660018235,24639.25204889093,155
1782482400,24658.9,24679,24652.7,24670.1,24638,24769.80006369368,24668.647928252813,24642.189948996554,208
1782482700,24670.6,24696.2,24668.7,24693.8,24638,24769.04384415444,24669.634284007603,24647.105191949264,220
1782483000,24694.1,24699.8,24674.5,24677.9,24638,24768.136940232504,24669.958429732797,24650.03803081124,146
1782483300,24677.5,24690.4,24664.3,24666.5,24638,24767.12562739437,24669.82280503739,24651.605837400646,190
1782483600,24666.9,24690.2,24664.5,24682.5,24638,24766.283581350643,24670.319949937886,24654.548138600585,137
1782483900,24683,24693.4,24675.8,24681.2,24638,24765.436978551134,24670.746618567773,24657.086411114815,145
1782484200,24679.8,24684.3,24654.8,24657.5,24638,24764.362978764555,24670.227143329823,24657.125800532453,162
1782484500,24659,24659,24639.7,24644.8,24638,24763.17329738381,24669.230000454143,24655.95191476746,172
1782484800,24645.3,24655.5,24631.2,24633.4,24638,24761.882020792928,24667.82490239712,24653.804113361035,143
1782485100,24633.3,24644.9,24622.8,24628.5,24622,24760.55483650643,24666.282749361937,24651.39419780284,180
1782485400,24628.1,24640.1,24616.4,24617.9,24622,24759.135385396916,24664.38538664186,24648.20427420257,104
1782485700,24618.4,24620,24596.6,24610.2,24622,24757.653441263614,24662.260469518653,24644.58481951661,134
1782486000,24610.3,24639.1,24607.9,24612.2,24622,24756.206143340594,24660.297313851253,24641.50055099122,158
1782486300,24612.7,24632,24600,24629.1,24622,24754.941405595913,24659.073889778654,24640.319546134913,147
1782486600,24629.5,24630.4,24591.5,24596.6,24622,24753.365869221823,24656.623933316747,24636.15577983635,153
1782486900,24597.1,24609.5,24593.7,24607.1,24622,24751.910487438523,24654.681818284716,24633.38856270908,229
1782487200,24608.6,24637.6,24604.1,24636.6,24622,24750.76311940431,24653.97272737159,24633.694413879643,361
1782487500,24636.1,24682.1,24634.6,24681.6,24622,24750.07492916148,24655.056149827607,24638.25685065301,557
1782487800,24682.1,24692.1,24666.1,24670.1,24622,24749.279158722064,24655.64610473633,24641.2895315432,901
1782488100,24668.1,24693.1,24668.1,24681.1,24622,24748.60075913279,24656.644296707454,24645.08100472956,271
1782488400,24680.6,24710.1,24678.6,24695.1,24622,24748.068413270772,24658.15236350324,24649.84471856484,185
1782488700,24695.6,24701.6,24685.6,24687.1,24688,24747.461762392457,24659.287564934486,24653.392840606284,96
1782489000,24687.6,24696.2,24650.6,24657.1,24688,24746.5626403786,24659.20177807431,24653.745903405685,358
1782489300,24657.3,24685.1,24657.1,24678.8,24688,24745.888385250455,24659.970335796887,24656.13200784324,69
1782489600,24679.8,24680.6,24669.3,24672.6,24688,24745.15914758627,24660.465616746027,24657.700388048645,54
1782489900,24672.1,24673.6,24641.8,24652.3,24688,24744.235175968497,24660.145396481475,24657.186065377344,115
1782490200,24651.8,24669.1,24644.5,24663.1,24688,24743.42786078473,24660.261263286124,24657.74929724617,49
1782490500,24663.6,24674.3,24659.1,24661.1,24688,24742.608678090353,24660.29415492196,24658.068411794153,81
1782490800,24660.6,24661.6,24604.4,24626.6,24688,24741.454362885474,24658.972815513258,24655.07142019471,416
1782491100,24627.1,24647.6,24621.8,24643.6,24688,24740.48068763288,24658.369960002936,24653.978903985688,59
1782491400,24643.1,24664.1,24643.1,24651.7,24688,24739.597297706187,24658.108392943996,24653.76186551086,96
1782491700,24651.2,24657.9,24639.5,24641.6,24688,24738.622200216574,24657.46100498541,24652.603592605064,77
1782492000,24642.6,24648.1,24636.9,24637.6,24688,24737.61700419452,24656.682142044803,24651.17467902363,28
1782492300,24638.1,24656.6,24635.6,24656.1,24658,24736.80588972492,24656.65931294501,24651.643757211856,15
1782492600,24655.1,24661.6,24641.5,24648.6,24658,24735.928219180394,24656.34326145697,24651.35387557263,40
1782492900,24649.6,24651.1,24640.4,24646.6,24658,24735.039381178598,24655.961172772382,24650.901125518092,14
1782493200,24647.6,24659.1,24634.6,24651.2,24658,24734.205158480305,24655.77446011464,24650.929589754465,65
1782493500,24651.7,24670.6,24649,24667.6,24658,24733.542420584978,24656.238206776812,24652.51724787309,24
1782493800,24668.1,24673.6,24659.9,24666.6,24658,24732.876326847814,24656.644551609093,24653.858462361368,30
1782494100,24666.1,24667.1,24651.6,24660.3,24658,24732.154174341867,24656.787902526383,24654.471942136475,33
1782494400,24659.8,24663.2,24649.6,24659.6,24658,24731.432242258863,24656.898180858683,24654.960328599667,33
1782494700,24659.1,24668.2,24651.1,24663.2,24658,24730.753314475194,24657.14531102109,24655.745059209225,29
1782495000,24663.7,24677.2,24657.1,24667.8,24658,24730.12691333614,24657.56314196144,24656.893148808347,30
1782495300,24666.8,24670.6,24657.1,24659.1,24658,24729.420177880056,24657.62341090413,24657.103325112315,32
1782495600,24659.6,24668.2,24648.1,24664.4,24658,24728.773210935975,24657.889159496124,24657.79824653019,23
1782495900,24663.9,24670.6,24661.6,24662.6,24658,24728.114771026165,24658.073898339415,24658.255556384458,25
1782496200,24663.1,24667.1,24661.1,24662.6,24658,24727.46288275725,24658.251392522183,24658.66931291927,24
1782496500,24663.1,24663.1,24649.6,24654.1,24658,24726.73290382434,24658.08859281543,24658.234140260294,27
1782496800,24655.6,24667.6,24653.6,24665.1,24658,24726.11964109972,24658.363549959922,24658.888031664075,29
1782497100,24664.6,24669.1,24653.1,24653.1,24658,24725.39307750669,24658.157136236005,24658.33679055321,28
1782497400,24654.6,24665,24649.6,24656.6,24658,24724.708569272792,24658.096072069886,24658.171381929096,18
1782497700,24657.1,24660.6,24642.2,24646.8,24658,24723.93335962829,24657.653088851457,24657.088393173944,43
1782498000,24647.3,24652.6,24642.5,24649.1,24658,24723.188749084722,24657.31767360238,24656.327593824044,12
1782498300,24649.6,24653.1,24631.6,24635.3,24658,24722.314234168458,24656.454235421897,24654.324965840802,19
1782498600,24634.7,24647.1,24630.6,24643.1,24658,24721.526032833448,24655.930539915156,24653.25592147501,28
1782498900,24642.6,24645.1,24628.6,24633.6,24658,24720.651146934608,24655.054832467504,24651.383928953583,13
1782499200,24634.1,24643.7,24629.2,24640.6,24658,24719.854618109388,24654.48797629231,24650.35688810086,29
1782499500,24640.9,24641.9,24625.9,24630.5,24638,24718.965517431683,24653.54727133967,24648.46575590078,40
