time,open,high,low,close,DP,EMA,EMA,EMA,Volume
1776034800,23437.6,23439.1,23412.6,23422.5,,,,,0
1776035100,23423,23429.9,23417.4,23421.1,,,,,0
1776035400,23421.7,23428.3,23416.4,23421,,,,,0
1776035700,23421.6,23427.3,23410,23419.5,,,,,0
1776036000,23418.9,23419.5,23411.8,23416.1,,,,,0
1776036300,23415,23422.7,23414.6,23419.8,,,,,0
1776036600,23420.1,23424.5,23411.5,23411.5,,,,,0
1776036900,23410.3,23414.1,23405.5,23407.7,,,,,0
1776037200,23408.3,23409.4,23404.2,23408.2,,,,,0
1776037500,23407.6,23411.6,23397.2,23402.4,23402,,,,0
1776037800,23403.5,23441.2,23402.4,23432.9,23402,,,,0
1776038100,23431.7,23454.8,23429.6,23454.2,23402,,,,0
1776038400,23455.3,23455.8,23420.3,23431.7,23402,,,,0
1776038700,23430.5,23453.7,23427,23452.5,23402,,,,0
1776039000,23453.1,23464.6,23449.7,23459,23402,,,,0
1776039300,23459.6,23475.5,23425.5,23432.5,23402,,,,77
1776039600,23429.5,23485.2,23429,23480.5,23402,,,,47
1776039900,23480,23505,23477.5,23484,23402,,,,41
1776040200,23492,23538.5,23491.5,23529,23402,,,,36
1776040500,23528.5,23534.5,23523.5,23529.5,23402,,,23441.78,3
1776040800,23529,23537.5,23522.5,23529.5,23402,,,23450.134285714284,7
1776041100,23528.5,23554,23524.5,23554,23550,,,23460.0262585034,9
1776041400,23553.5,23573,23549.5,23569,23550,,,23470.404710074505,13
1776041700,23568,23570,23549,23558.5,23550,,,23478.794737686458,6
1776042000,23561.5,23570.2,23553.2,23559,23550,,,23486.43333409727,8
1776042300,23560.5,23561,23549.4,23557,23550,,,23493.15396894515,1
1776042600,23557.5,23571,23557,23558.5,23550,,,23499.377400474183,6
1776042900,23559,23561,23549,23551.5,23550,,,23504.341457571878,1
1776043200,23552.5,23562.9,23548,23556.4,23550,,,23509.299413993605,14
1776043500,23555.9,23566,23550.1,23563.5,23550,,,23514.461374565642,2
1776043800,23562,23562.5,23547,23562,23550,,,23518.98886270225,1
1776044100,23561.5,23567,23554.5,23554.5,23550,,,23522.370875778226,2
1776044400,23555.5,23556.5,23541,23544.5,23550,,,23524.478411418397,17
1776044700,23544,23544.5,23526.5,23539.5,23538,,,23525.90903890236,6
1776045000,23540,23553.5,23540,23550,23538,,,23528.203416149754,1
1776045300,23549.5,23556.6,23542.8,23551.6,23538,,,23530.43166223073,3
1776045600,23550.6,23553.6,23540.5,23549.5,23538,,,23532.247694399233,6
1776045900,23550,23553,23539,23541,23538,,,23533.081247313592,4
1776046200,23540.5,23540.5,23514.6,23525,23538,,,23532.311604712297,11
