time,open,high,low,close
1761552000,24332.85,24348.59,24317.13,24317.13
1761552300,24317.24,24317.7,24291.39,24295.08
1761552600,24293.41,24293.51,24264.44,24279.34
1761552900,24279.89,24284.63,24274.19,24283.57
1761553200,24285.72,24293.82,24284.52,24291.54
1761553500,24291.21,24294.18,24266.23,24268.63
1761553800,24265.99,24269.63,24257.35,24264.57
1761554100,24264.71,24280.43,24253.86,24280.3
1761554400,24278.89,24293.61,24278.89,24288.82
1761554700,24288.93,24301.44,24281.12,24281.88
1761555000,24282.06,24290.67,24276.74,24290.32
1761555300,24290.46,24310.41,24288.05,24289.47
1761555600,24289.33,24292.32,24278.34,24281.17
1761555900,24281.24,24281.24,24259.28,24268.04
1761556200,24268.08,24274.71,24267.19,24274.71
1761556500,24274.78,24281.58,24267.05,24267.65
1761556800,24267.71,24273.1,24257.29,24261.97
1761557100,24262.17,24264.66,24245.57,24246.55
1761557400,24246.62,24257.07,24242.86,24255.85
1761557700,24255.22,24265.74,24252.82,24265.45
1761558000,24265.55,24268.05,24260.08,24267.95
1761558300,24268.22,24282.07,24268.22,24277.46
1761558600,24277.42,24280.98,24274.2,24275.07
1761558900,24275.01,24276.51,24269.59,24276.51
1761559200,24277.44,24284.36,24268.21,24269.75
1761559500,24270.08,24271.47,24262.91,24267.83
1761559800,24267.31,24267.31,24251.83,24265.67
1761560100,24265.1,24270.78,24258.6,24262.96
1761560400,24262.94,24266.62,24261.2,24265.71
1761560700,24266.78,24271.05,24262.41,24266.04
1761561000,24266.3,24269.84,24263.51,24266.18
1761561300,24266.11,24267.05,24256.18,24263.49
1761561600,24263.43,24269.23,24250.05,24252.03
1761561900,24251.79,24252.71,24249.14,24251.76
1761562200,24253.06,24274.47,24252.76,24271.32
1761562500,24271.24,24271.37,24254.4,24254.4
1761562800,24254.72,24258.03,24247.5,24255.14
1761563100,24254.6,24262.25,24247.54,24252.81
1761563400,24251.71,24251.71,24226.63,24228.48
1761563700,24230.28,24234.54,24226.53,24234.54
1761564000,24234.44,24235.77,24230.92,24233.93
1761564300,24231.94,24231.94,24208.77,24209.5
1761564600,24208.7,24214.87,24204.17,24211.26
1761564900,24212.06,24212.06,24203.41,24211.02
1761565200,24210.67,24220.55,24208.8,24209.18
1761565500,24209.72,24215.78,24207.05,24215.78
1761565800,24215.73,24222.64,24208.73,24222.64
1761566100,24222.16,24227.25,24213.07,24225.13
1761566400,24224.96,24234.27,24224.38,24232.47
